NAME,AreaMedianIncome
Alameda,142800
Alpine,94900
Amador,86600
Butte,85000
Calaveras,90000
Colusa,80300
Contra Costa,142800
Del Norte,80300
El Dorado,102200
Fresno,80300
Glenn,80300
Humboldt,80300
Imperial,80300
Inyo,82700
Kern,80300
Kings,80300
Lake,80300
Lassen,80300
Los Angeles,91100
Madera,80300
Marin,166000
Mariposa,80300
Mendocino,80300
Merced,80300
Modoc,80300
Mono,81200
Monterey,90100
Napa,119400
Nevada,98400
Orange,119100
Placer,102200
Plumas,82400
Riverside,87400
Sacramento,102200
San Benito,105100
San Bernardino,87400
San Diego,106900
San Francisco,166000
San Joaquin,85000
San Luis Obispo,109200
San Mateo,166000
Santa Barbara,100100
Santa Clara,168500
Santa Cruz,119300
Shasta,89800
Sierra,90000
Siskiyou,80300
Solano,108700
Sonoma,112800
Stanislaus,80300
Sutter,80300
Tehama,80300
Trinity,80300
Tulare,80300
Tuolumne,84300
Ventura,115400
Yolo,106600
Yuba,80300